Nume produs,Tip,Moneda,Suma minima,Dobanda,Comision administrare,Avantaje,Documente necesare,Observatii,Suma maxima
Maxicont,Cont economii,RON,1 RON,0.3% variabila,0,"Fara comision, alimentare/retragere oricand, acces 24/7 prin George",CI,"Dobanda scade daca soldul scade sub minim. Dobanda lunara. Impozitare 10% rezidenti",
Succes,Depozit la termen,RON,500 RON,"0.5%-0.8% fixa, cu bonus 0.4% daca incasezi venit in BCR",0,"Posibilitate alimentare pana la maturitate, capitalizare automata, fara comision alimentare",CI,Dobanda fixa; daca se retrage inainte se aplica dobanda la vedere,
Noua Casa,Credit ipotecar,RON,,Variabila,0,"Avans redus (5-15%), fara comision analiza, protectie prin asigurari optionale","CI, ANAF, acte proprietate, documente venit",Include conditii de eligibilitate pentru locuinte,66.500 EUR echiv. RON (max 95% din pret)
Credit nevoi personale George,Credit de nevoi personale,RON,,5.99%-7.69% fixa,0,"Aprobarea rapida, reducere dobanda cu asigurare sau salariu la BCR, optiune refinantare","CI, ANAF (fara alte documente in multe cazuri)","DAE difera in functie de pachet, protectie extinsa optionala",200.000 RON
Cont curent in valuta,Cont curent,"EUR, USD etc.",,0,20 RON/luna,"Card in valuta, acces Internet/Mobile Banking, transferuri internationale",CI,"Reduceri prin George Info, acces la George App",
George 3.0,Cont curent + card,RON,,0,0 daca primesti >2000 RON/luna,"Beneficii in functie de nivel program, cashback, retrageri gratuite ATM","CI, online",Reduceri suplimentare pentru clienti PRO/ADVANCED,
Card de credit standard / Gold / IKEA,Card de credit,RON,,28% fixa,0-200 RON,"Pana la 60 de rate fara dobanda, cashback, acces business lounge","CI, ANAF","DAE 12.1% pana la 31.89%, asigurare optionala cu reducere dobanda",40.000 RON
Casa Mea Natura (RoGBC),Credit ipotecar verde,RON,45.000 RON,"4.79%-5.99% fixa 3 ani, apoi variabila",0,"Locuinte verzi, evaluare gratuita, costuri scazute energie, fara comision rambursare anticipata","CI, acte proprietate, documente venit",Certificare necesara de la Romania Green Building Council,
